Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Overlay 9001,Stamina bar left,,,,,,,Table of contents,,,,,,
Overlay 9009,Stamina bar right,,,,,,,,,,,,complete,0.42857142857142855
,,,,,,,,,,,,,,
Textures:,,Number,Description,,,,,,,,,,missing,player name coordinates
Overlay,,2,"career mode player rating middle part (close to stamina bar, screenshot orange)",,,,,,,,,,,player number name coordinates
,,3,"career mode player rating side (image for right, screenshot yellow)",,,,,,,,,,, crest coordinates
,,5,career mode player rating improving middle part,,,,,,,,,,,
,,6,career mode player rating improving side (image for right),,,,,,,,,,,
,,9,career mode player rating declining middle part,,,,,,,,,,,
,,10,career mode player rating declining side (image for right),,,,,,,,,,,
,,17,Player stamina bar sides (screenshot light blue),,,,,,,,,,,
,,18,player stamina bar middle (screenshot pink),,,,,,,,,,,
,,,,,,,,,,,,,,
Offsets,Offset,,Description,,,,,,,,,,,
,,,,,,,,,,,,,,
Overlay Hex 0,0950,08-09-0A,Kit number colour,,,,,,,,,,,
,,0C-0D-0E-0F,kit number font size,,,,,,,,,,,
,,,Overall size width and horizontal orientation,,,,,,,,,,,
,,,Overall size height and vertical orientation,,,,,,,,,,,
,1A90,04-05-06-07,Overall position x coordinate,,,,,,,,,,,
,,08-09-0A-0B,Overall position y coordinate,,,,,,,,,,,
,,,,,,,,,,,,,,
Overlay Hex 1,0C20,,Player name colour,,,,,,,,,,,
